# table for finding best gap for requested energy
# energy gap harmonic
5000 4.566 3
5100 4.633 3
5200 4.698 3
5300 4.760 3
5400 4.826 3
5500 4.890 3
5600 4.954 3
5700 5.021 3
5800 5.084 3
5900 5.148 3
6000 5.214 3
6100 5.279 3
6200 5.343 3
6300 5.408 3
6400 5.473 3
6500 5.539 3
6600 5.606 3
6700 5.670 3
6800 5.736 3
6900 5.802 3
7000 5.869 3
7100 5.935 3
7200 6.003 3
7300 6.070 3
7400 6.140 3
7500 6.207 3
7600 6.277 3
7700 6.345 3
7800 6.417 3
7900 6.481 3
8000 6.556 3
8100 6.621 3
8200 6.695 3
8300 6.764 3
8400 6.836 3
8500 4.626 5
8600 4.666 5
8700 4.705 5
8800 4.743 5
8900 4.782 5
9000 4.822 5
9100 4.863 5
9200 4.898 5
9300 4.934 5
9400 4.977 5
9500 5.013 5
9600 5.049 5
9700 5.088 5
9800 5.128 5
9900 5.167 5
10000 5.207 5
10100 5.247 5
10200 5.286 5
10300 5.322 5
10400 5.362 5
10500 5.400 5
10600 5.440 5
10700 5.482 5
10800 5.520 5
10900 5.562 5
11000 5.604 5
11100 5.642 5
11200 5.681 5
11300 5.721 5
11400 5.759 5
11500 5.800 5
11600 5.841 5
11700 4.566 7
11800 4.595 7
11900 4.626 7
12000 4.654 7
12100 4.682 7
12200 4.710 7
12300 4.735 7
12400 4.760 7
12500 4.792 7
12600 4.817 7
12700 4.847 7
12800 4.872 7
12900 4.904 7
13000 4.933 7
13100 4.957 7
13200 4.982 7
13300 5.012 7
13400 5.040 7
13500 5.070 7
13600 5.090 7
13700 5.119 7
13800 5.144 7
13900 5.172 7
14000 5.203 7
14100 5.234 7
14200 5.256 7
14300 5.285 7
14400 5.314 7
14500 5.342 7
14600 5.371 7
14700 5.401 7
14800 5.425 7
14900 5.453 7
15000 5.480 7
15100 4.573 9
15200 4.595 9
15300 4.618 9
15400 4.640 9
15500 4.660 9
15600 4.683 9
15700 4.704 9
15800 4.722 9
15900 4.745 9
16000 4.769 9
16100 4.790 9
16200 4.811 9
16300 4.835 9
16400 4.856 9
16500 4.877 9
16600 4.900 9
16700 4.922 9
16800 4.945 9
16900 4.967 9
17000 4.988 9
17100 5.012 9
17200 5.033 9
17300 5.056 9
17400 5.077 9
17500 5.100 9
17600 5.123 9
17700 5.143 9
17800 5.164 9
17900 5.187 9
18000 5.207 9
18100 5.224 9
18200 5.245 9
18300 5.268 9
18400 5.290 9
18500 4.584 11
18600 4.605 11
18700 4.622 11
18800 4.638 11
18900 4.659 11
19000 4.672 11
19100 4.693 11
19200 4.711 11
19300 4.731 11
19400 4.747 11
19500 4.762 11
19600 4.785 11
19700 4.800 11
19800 4.819 11
19900 4.836 11
20000 4.856 11
20100 4.871 11
20200 4.888 11
20300 4.911 11
20400 4.928 11
20500 4.945 11
20600 4.962 11
20700 4.985 11
20800 5.000 11
20900 5.018 11
21000 5.033 11
21100 5.058 11
21200 5.074 11
21300 5.093 11
21400 5.098 11
21500 5.125 11
21600 5.132 11
21700 5.159 11
21800 5.182 11
21900 4.592 13
22000 4.607 13
22100 4.622 13
22200 4.637 13
22300 4.652 13
22400 4.666 13
22500 4.682 13
22600 4.698 13
22700 4.711 13
22800 4.727 13
22900 4.742 13
23000 4.758 13
23100 4.772 13
23200 4.788 13
23300 4.803 13
23400 4.817 13
23500 4.833 13
23600 4.849 13
23700 4.865 13
23800 4.880 13
23900 4.894 13
24000 4.909 13
24100 4.923 13
24200 4.939 13
24300 4.953 13
24400 4.968 13
24500 4.980 13
24600 4.997 13
24700 5.012 13
24800 5.029 13
24900 5.041 13
25000 5.058 13
25100 4.568 15
25200 4.582 15
25300 4.595 15
25400 4.609 15
25500 4.620 15
25600 4.636 15
25700 4.648 15
25800 4.658 15
25900 4.673 15
26000 4.685 15
26100 4.701 15
26200 4.712 15
26300 4.724 15
26400 4.741 15
26500 4.755 15
26600 4.763 15
26700 4.780 15
26800 4.790 15
26900 4.803 15
27000 4.819 15
27100 4.829 15
27200 4.841 15
27300 4.856 15
27400 4.866 15
27500 4.885 15
27600 4.895 15
27700 4.906 15
27800 4.922 15
27900 4.936 15
28000 4.963 15
28100 4.959 15
28200 4.974 15

