# motor positions for centering piezos in mono
# energy mono_x2pit mono_x2rol
5000 -0.2260 -0.0008      
6000 -0.2252 -0.0003      
7000 -0.2245 0.0002      
8000 -0.2238 0.0006      
9000 -0.2232 0.0011      
10000 -0.2228 0.0016      
11000 -0.2223 0.0021      
12000 -0.2219 0.0025      
13000 -0.2215 0.0030      
14000 -0.2211 0.0036      
15000 -0.2208 0.0042      
16000 -0.2205 0.0048      
17000 -0.2203 0.0053      
18000 -0.2201 0.0058      
19000 -0.2199 0.0063      
20000 -0.2197 0.0068      
21000 -0.2196 0.0074      
22000 -0.2195 0.0080      
23000 -0.2195 0.0086      
24000 -0.2193 0.0090      
25000 -0.2191 0.0094      
26000 -0.2190 0.0099      
27000 -0.2189 0.0104      
28000 -0.2188 0.0109  
29000 -0.2187 0.0112
